SERIAL_CHASIS,ID_EQUIPO,FILE_ID
----------,175,19bY-f3Rs5THGUgf_7kJue4R8mhelYCE4
LJRL163C1F2004857,209,1rdlBrPrUE7exkpiEjgyFZ1t4LtyQA99b
